energy_100g,sugars_100g,fat_100g,proteins_100g,salt_100g,fiber_100g,carbohydrates_100g,label
316.0,4.5,4.5,4.3,0.16,0.0,4.5,Healthy
442.0,3.3,8.9,3.3,0.1,0.0,3.3,Moderate
1575.0,1.0,8.0,11.0,0.0,9.0,60.0,Healthy
1173.0,6.3,4.4,9.6,1.0,3.9,48.0,Moderate
2517.8,5.3,47.0,26.0,0.02,8.1,16.0,Healthy
1287.3,0.1,22.8,23.5,0.955,0.0,2.6,Moderate
1025.0,3.0,2.0,9.1,0.98,2.3,46.4,Moderate
126.0,3.8,1.1,0.4,0.14,1.3,3.8,Moderate
1279.06666666667,1.06666666666667,8.53333333333333,7.86666666666667,1.57333333333333,4.53333333333333,46.6666666666667,Moderate
949.0,2.3,9.3,14.0,0.9,3.3,20.0,Healthy
832.0,1.9,12.0,14.0,0.9,5.6,6.2,Healthy
1521.0,3.5,2.0,13.0,0.01,3.0,71.0,Healthy
